word_segment,instances,prominence
ར་,71,1.9744160177975527
ནི,68,1.8909899888765296
ས་,48,1.3348164627363739
པདྨ་,43,1.195773081201335
,39,1.0845383759733036
མ་,36,1.0011123470522802
ལ་,35,0.9733036707452726
ལ,29,0.8064516129032258
དུ་,28,0.778642936596218
དང་,27,0.7508342602892102
༔ཨོཾ་,24,0.6674082313681869
བཛྲ་,23,0.6395995550611792
ནི་,21,0.5839822024471636
རྒྱལ་པོ,19,0.5283648498331479
བྷ་,19,0.5283648498331479
ཛ་,17,0.4727474972191324
ཚོགས་,16,0.44493882091212456
སུ་,16,0.44493882091212456
ཧཱུྃ་,16,0.44493882091212456
རྒྱལ་པོ་,15,0.41713014460511677
མཆོད་,15,0.41713014460511677
རཱ་,15,0.41713014460511677
ཧཱུྃ,15,0.41713014460511677
གྱི་,14,0.389321468298109
ཡི་,14,0.389321468298109
ཀྱི་,14,0.389321468298109
ཧཱ་,14,0.389321468298109
༔པདྨ་,13,0.3615127919911012
གུ་རུ་,13,0.3615127919911012
ཀློང་,13,0.3615127919911012
སྐུ,13,0.3615127919911012
མེད་,12,0.33370411568409347
ཀྱིས་,12,0.33370411568409347
ཞིང་,12,0.33370411568409347
ནས,12,0.33370411568409347
གསུམ་,12,0.33370411568409347
པྲ་,12,0.33370411568409347
བསྟོད,12,0.33370411568409347
ནང་,11,0.3058954393770857
བཅས,11,0.3058954393770857
བླ་མ་,11,0.3058954393770857
ཌཱཀྐི་,11,0.3058954393770857
ས,10,0.27808676307007785
ནས་,10,0.27808676307007785
ཡ་,10,0.27808676307007785
རི་,10,0.27808676307007785
མེ་,10,0.27808676307007785
༔ཚོགས་,9,0.25027808676307006
མི་,9,0.25027808676307006
བཞི་,9,0.25027808676307006
དུ,9,0.25027808676307006
རྣམས,9,0.25027808676307006
ཏུ་,9,0.25027808676307006
དང,9,0.25027808676307006
ནཱི་,9,0.25027808676307006
ས་པ་,9,0.25027808676307006
ཝཱ་,9,0.25027808676307006
ཏཱི་,9,0.25027808676307006
ཙྪ་,9,0.25027808676307006
ཨཿ,9,0.25027808676307006
ཡང་,8,0.22246941045606228
ཟབ་,8,0.22246941045606228
གཏོར་,8,0.22246941045606228
༔ཕྱག་,8,0.22246941045606228
གསང་,8,0.22246941045606228
༔རིག་འཛིན་,8,0.22246941045606228
ཕྱི་,8,0.22246941045606228
གྱིས་,8,0.22246941045606228
འདི,8,0.22246941045606228
ལྡན་,8,0.22246941045606228
བར་ཆད་,8,0.22246941045606228
ཆོས་,8,0.22246941045606228
ག་,8,0.22246941045606228
གིང་,8,0.22246941045606228
༔ཧཱུྃ,8,0.22246941045606228
རོལ,8,0.22246941045606228
སྙིང་,7,0.1946607341490545
བདག་,7,0.1946607341490545
ལྷ་,7,0.1946607341490545
ཚེ་,7,0.1946607341490545
དཔལ་,7,0.1946607341490545
གསོལ,7,0.1946607341490545
རྒྱན་,7,0.1946607341490545
སྟེང་,7,0.1946607341490545
ཚོགས་མཆོད་,7,0.1946607341490545
དག་པ,7,0.1946607341490545
སྤྲུལ་པ,7,0.1946607341490545
ཐུགས་དམ་,7,0.1946607341490545
༔,7,0.1946607341490545
བདེ་སྟོང་,7,0.1946607341490545
ཧ་,7,0.1946607341490545
གི་,6,0.16685205784204674
ཨ་,6,0.16685205784204674
གསོལ་བ་,6,0.16685205784204674
